Order,Morphospecies,Abundance,2016,2019,Change
Formicidae,Amblyoponinae1,44,26,18,-8
Formicidae,Dolichoderinae01,12320,4424,7896,3472
Formicidae,Dolichoderinae02,162,24,138,114
Formicidae,Dolichoderinae03,60,4,56,52
Formicidae,Dolichoderinae04,144,3,141,138
Formicidae,Dolichoderinae05,244,137,107,-30
Formicidae,Dolichoderinae06,30,1,29,28
Formicidae,Dolichoderinae07,5,0,5,5
Formicidae,Dolichoderinae08,77,35,42,7
Formicidae,Dolichoderinae09,1,1,0,-1
Formicidae,Dolichoderinae10,2,2,0,-2
Formicidae,Dorylinae1,3,1,2,1
Formicidae,Ectatomminae1,1802,1477,325,-1152
Formicidae,Formicinae01,19,13,6,-7
Formicidae,Formicinae02,232,201,31,-170
Formicidae,Formicinae03,150,82,68,-14
Formicidae,Formicinae03.1,63,21,42,21
Formicidae,Formicinae03.2,11,0,11,11
Formicidae,Formicinae04,201,90,111,21
Formicidae,Formicinae05,7,6,1,-5
Formicidae,Formicinae06,1000,866,134,-732
Formicidae,Formicinae07,90,55,35,-20
Formicidae,Formicinae08,176,87,89,2
Formicidae,Formicinae09,2,0,2,2
Formicidae,Formicinae10,70,28,42,14
Formicidae,Formicinae11,32,11,21,10
Formicidae,Formicinae12,2,1,1,0
Formicidae,Formicinae13,18,12,6,-6
Formicidae,Formicinae14,10,7,3,-4
Formicidae,Formicinae15,4,2,2,0
Formicidae,Formicinae16,15,13,2,-11
Formicidae,Formicinae17,5,5,0,-5
Formicidae,Formicinae18,1,1,0,-1
Formicidae,Heteroponerinae1,31,25,6,-19
Formicidae,Heteroponerinae2,185,157,28,-129
Formicidae,Heteroponerinae3,30,28,2,-26
Formicidae,Heteroponerinae4,18,3,15,12
Formicidae,Heteroponerinae5,4,2,2,0
Formicidae,Myrmeciinae1,2,0,2,2
Formicidae,Myrmicinae01,305,162,143,-19
Formicidae,Myrmicinae02,87,32,55,23
Formicidae,Myrmicinae03,2260,1101,1159,58
