Morphospecies,Size,Trophic.level,Order,Flight,Larval_hab,Abundance,2016,2019,CR,JE,JW,K,MUL,propzeros_total,propzeros_2016,propzeros_2019,propzeros_JE,propzeros_JW,propzeros_CR,propzeros_MUL,propzeros_K
Anthicidae1,0,Herbivore,Coleoptera,yes,on,398,194,204,67,58,115,39,119,0.3125,0.3125,0.3125,0.4375,0.21875,0.3125,0.125,0.46875
Anthicidae2,2.5,Herbivore,Coleoptera,yes,on,160,155,5,55,37,11,43,14,0.725,0.5,0.95,0.75,0.84375,0.65625,0.75,0.625
Anthicidae3,0,Herbivore,Coleoptera,yes,on,3,2,1,1,0,1,0,1,0.98125,0.975,0.9875,1,0.96875,0.96875,0.96875,1
Biphyllidae1,2.5,Detritivore,Coleoptera,unsure,above,12,9,3,6,2,1,3,0,0.94375,0.925,0.9625,0.9375,0.96875,0.84375,1,0.96875
Byrrhidae1,0,Herbivore,Coleoptera,yes,on,20,15,5,0,15,1,1,3,0.93125,0.9125,0.95,0.78125,0.96875,1,0.9375,0.96875
Cantharidae1,10,Predator,Coleoptera,yes,below,1,1,0,1,0,0,0,0,0.99375,0.9875,1,1,1,0.96875,1,1
Carabidae1,5,Predator,Coleoptera,no,on,331,197,134,44,47,114,97,29,0.40625,0.4125,0.4,0.65625,0.21875,0.5625,0.46875,0.125
Carabidae2,5,Omnivore,Coleoptera,no,on,724,685,39,113,294,98,72,147,0.4,0.1,0.7,0.34375,0.375,0.46875,0.4375,0.375
Carabidae3,10,Predator,Coleoptera,no,on,9,6,3,1,3,4,1,0,0.95,0.9375,0.9625,0.90625,0.90625,0.96875,1,0.96875
Carabidae4,10,Predator,Coleoptera,no,on,124,111,13,15,19,43,16,31,0.6875,0.5,0.875,0.8125,0.40625,0.78125,0.71875,0.71875
Carabidae5,2.5,Omnivore,Coleoptera,no,on,4,3,1,0,2,0,2,0,0.975,0.9625,0.9875,0.9375,1,1,1,0.9375
Carabidae6,5,Predator,Coleoptera,no,on,1,0,1,1,0,0,0,0,0.99375,1,0.9875,1,1,0.96875,1,1
Carabidae7,5,Predator,Coleoptera,no,on,11,11,0,0,2,2,4,3,0.9375,0.875,1,0.9375,0.96875,1,0.90625,0.875
Carabidae8,5,Omnivore,Coleoptera,no,on,134,134,0,0,132,0,2,0,0.93125,0.8625,1,0.6875,1,1,1,0.96875
Carabidae9,20,Predator,Coleoptera,no,on,6,6,0,1,3,1,0,1,0.9625,0.925,1,0.90625,0.96875,0.96875,0.96875,1
Cassidinae_Hispoid1,2.5,Herbivore,Coleoptera,yes,above,4,3,1,0,2,1,1,0,0.975,0.9625,0.9875,0.9375,0.96875,1,1,0.96875
Chrysomelidae1,2.5,Herbivore,Coleoptera,yes,above,3,2,1,0,1,1,0,1,0.98125,0.975,0.9875,0.96875,0.96875,1,0.96875,1
Coccinellidae1,0,Predator,Coleoptera,yes,above,9,6,3,0,4,2,2,1,0.94375,0.925,0.9625,0.875,0.9375,1,0.96875,0.9375
Corylophidae1,0,Detritivore,Coleoptera,yes,on,30,25,5,2,5,5,11,7,0.8625,0.775,0.95,0.84375,0.875,0.9375,0.8125,0.84375
Corylophidae2,0,Detritivore,Coleoptera,yes,on,10,10,0,2,2,0,6,0,0.96875,0.9375,1,0.96875,1,0.96875,1,0.90625
Corylophidae3,0,Detritivore,Coleoptera,yes,on,22,22,0,11,2,1,2,6,0.8875,0.775,1,0.9375,0.96875,0.71875,0.875,0.9375
Corylophidae4,0,Detritivore,Coleoptera,yes,on,3,3,0,0,2,1,0,0,0.9875,0.975,1,0.96875,0.96875,1,1,1
Curculionidae01,5,Herbivore,Coleoptera,no,above,176,71,105,42,62,20,5,47,0.59375,0.6375,0.55,0.46875,0.65625,0.5,0.5,0.84375
Curculionidae02,5,Herbivore,Coleoptera,no,above,626,414,212,162,162,46,57,199,0.2,0.0375,0.3625,0.125,0.40625,0.0625,0.1875,0.21875
Curculionidae03,2.5,Herbivore,Coleoptera,no,above,3,1,2,1,1,0,0,1,0.98125,0.9875,0.975,0.96875,1,0.96875,0.96875,1
Curculionidae04,5,Herbivore,Coleoptera,no,above,249,231,18,32,17,31,10,159,0.6375,0.4375,0.8375,0.8125,0.75,0.46875,0.28125,0.875
Curculionidae05,2.5,Herbivore,Coleoptera,no,above,150,143,7,76,0,64,5,5,0.7625,0.6,0.925,1,0.65625,0.4375,0.84375,0.875
