Year,Site,Plot,Treatment,Pitfall,Anthicidae1,Anthicidae2,Anthicidae3,Biphyllidae1,Byrrhidae1,Cantharidae1,Carabidae1,Carabidae2,Carabidae3,Carabidae4,Carabidae5,Carabidae6,Carabidae7,Carabidae8,Carabidae9,Cassidinae_Hispoid1,Chrysomelidae1,Coccinellidae1,Corylophidae1,Corylophidae2,Corylophidae3,Corylophidae4,Curculionidae01,Curculionidae02,Curculionidae03,Curculionidae04,Curculionidae05,Curculionidae06,Curculionidae07,Curculionidae08,Curculionidae09,Curculionidae10,Curculionidae11,Elateridae1,Elateridae2,Endomychidae1,Larvae1,Larvae2,Larvae3,Larvae4,Larvae5,Larvae6,Larvae7,Larvae8,Latridiidae1,Scarabaeoidea1,Scarabaeoidea2,Scarabaeoidea3,Scarabaeoidea4,Scarabaeoidea5,Scarabaeoidea6,Scarabaeoidea7,Scirtidae1,Staphylinidae1,Staphylinidae2,Staphylinidae3,Staphylinidae4,Staphylinidae5,Staphylinidae6,Staphylinidae7,Staphylinidae8,Tenebrionidae1,Tenebrionidae2,Tenebrionidae3,Tenebrionidae4,Tenebrionidae5,Tenebrionidae6,Tenebrionidae7,Tenebrionidae8
2019,JE,3,Rock,NE,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2019,JE,4,Control,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2019,JE,7,Control,NE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2019,JE,8,Rock,NE,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
2019,JE,3,Rock,NW,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2019,JE,4,Control,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,JE,7,Control,NW,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,JE,8,Rock,NW,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2019,JE,3,Rock,SE,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2019,JE,4,Control,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
