Morphospecies,Size,Trophic level,Order,Genus,Food_preference,Nest_site,Colony_size,Foraging_style,Foraging_site,Abundance,2016,2019,CR,JE,JW,K,MUL,propzeros_total,propzeros_2016,propzeros_2019,propzeros_JE,propzeros_JW,propzeros_CR,propzeros_MUL,propzeros_K
Amblyoponinae 1,5,Carnivore,Formicidae,Amblyopone,Specific,Mixed,Tens,Cooperative,Mixed,44,26,18,15,4,2,13,10,0.79375,0.775,0.8125,0.875,0.9375,0.75,0.71875,0.6875
Dolichoderinae 01,0,Omnivore,Formicidae,Iridomyrmex,General,Soil,Thousands,Cooperative,Ground,12320,4424,7896,2591,1105,2911,3260,2453,0.09375,0.1375,0.05,0.3125,0.09375,0.0625,0,0
Dolichoderinae 02,5,Omnivore,Formicidae,Anonychomyrma,General,Mixed,Thousands,Cooperative,Mixed,162,24,138,2,136,13,6,5,0.85625,0.8375,0.875,0.71875,0.90625,0.9375,0.875,0.84375
Dolichoderinae 03,0,Herbivore,Formicidae,Papyrius,General,Mixed,Unknown,Unknown,Mixed,60,4,56,10,13,21,16,0,0.875,0.975,0.775,0.84375,0.78125,0.875,1,0.875
Dolichoderinae 04,0,Omnivore,Formicidae,Iridomyrmex,General,Soil,Thousands,Cooperative,Ground,144,3,141,104,5,6,27,2,0.88125,0.9625,0.8,0.875,0.90625,0.875,0.9375,0.8125
Dolichoderinae 05,0,Omnivore,Formicidae,Iridomyrmex,General,Soil,Thousands,Cooperative,Ground,244,137,107,6,135,100,0,3,0.8375,0.8,0.875,0.65625,0.71875,0.875,0.9375,1
Dolichoderinae 06,0,Omnivore,Formicidae,Technomyrmex,General,Trees,Millions,Cooperative,Trees,30,1,29,1,15,12,2,0,0.91875,0.9875,0.85,0.90625,0.78125,0.96875,1,0.9375
Dolichoderinae 07,2.5,Omnivore,Formicidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5,0,5,0,0,4,0,1,0.96875,1,0.9375,1,0.875,1,0.96875,1
Dolichoderinae 08,0,Herbivore,Formicidae,Papyrius,General,Mixed,Unknown,Unknown,Mixed,77,35,42,25,15,24,4,9,0.8625,0.8625,0.8625,0.84375,0.78125,0.84375,0.875,0.96875
Dolichoderinae 09,2.5,Omnivore,Formicidae,Doleromyrma,General,Soil,Hundreds,Unknown,Mixed,1,1,0,0,1,0,0,0,0.99375,0.9875,1,0.96875,1,1,1,1
Dolichoderinae 10,2.5,Herbivore,Formicidae,Papyrius,General,Mixed,Unknown,Unknown,Mixed,2,2,0,0,1,1,0,0,0.9875,0.975,1,0.96875,0.96875,1,1,1
Dorylinae 1,2.5,Carnivore,Formicidae,Zasphinctus,Specific,Soil,Hundreds,Solitary,Ground,3,1,2,0,1,1,1,0,0.98125,0.9875,0.975,0.96875,0.96875,1,1,0.96875
Ectatomminae 1,2.5,Omnivore,Formicidae,Rhytidoponera,General,Mixed,Hundreds,Solitary,Mixed,1802,1477,325,342,391,418,349,302,0.06875,0,0.1375,0,0.125,0.125,0.09375,0
Formicinae 01,2.5,Omnivore,Formicidae,Camponotus,General,Mixed,Thousands,Cooperative,Mixed,19,13,6,1,4,9,0,5,0.90625,0.875,0.9375,0.9375,0.78125,0.96875,0.84375,1
Formicinae 02,0,Omnivore,Formicidae,Plagiolepis,General,Mixed,Thousands,Unknown,Ground,232,201,31,9,78,64,42,39,0.65625,0.5625,0.75,0.53125,0.5625,0.84375,0.65625,0.6875
Formicinae 03,5,Omnivore,Formicidae,Camponotus,General,Mixed,Thousands,Cooperative,Mixed,150,82,68,44,41,25,22,18,0.55,0.525,0.575,0.4375,0.5625,0.40625,0.625,0.71875
Formicinae 03.1,2.5,Omnivore,Formicidae,Camponotus,General,Mixed,Thousands,Cooperative,Mixed,63,21,42,1,25,29,3,5,0.875,0.9375,0.8125,0.78125,0.8125,0.96875,0.90625,0.90625
Formicinae 03.2,0,Omnivore,Formicidae,Camponotus,General,Mixed,Thousands,Cooperative,Mixed,11,0,11,0,9,2,0,0,0.98125,1,0.9625,0.96875,0.9375,1,1,1
Formicinae 04,2.5,Omnivore,Formicidae,Camponotus,General,Mixed,Thousands,Cooperative,Mixed,201,90,111,19,95,47,18,22,0.64375,0.6,0.6875,0.59375,0.65625,0.6875,0.5625,0.71875
Formicinae 05,2.5,Omnivore,Formicidae,Camponotus,General,Mixed,Thousands,Cooperative,Mixed,7,6,1,0,1,6,0,0,0.9875,0.9875,0.9875,0.96875,0.96875,1,1,1
Formicinae 06,2.5,Carnivore,Formicidae,Notoncus,General,Soil,Unknown,Unknown,Mixed,1000,866,134,120,290,309,105,176,0.35625,0.2,0.5125,0.28125,0.1875,0.375,0.46875,0.46875
Formicinae 07,2.5,Omnivore,Formicidae,Nylanderia,General,Soil,Hundreds,Cooperative,Ground,90,55,35,1,57,29,1,2,0.85,0.8625,0.8375,0.75,0.625,0.96875,0.9375,0.96875
Formicinae 08,0,Omnivore,Formicidae,Camponotus,General,Mixed,Thousands,Cooperative,Mixed,176,87,89,44,50,53,5,24,0.5875,0.525,0.65,0.5625,0.46875,0.46875,0.5625,0.875
Formicinae 09,5,Omnivore,Formicidae,Camponotus,General,Mixed,Thousands,Cooperative,Mixed,2,0,2,0,0,2,0,0,0.9875,1,0.975,1,0.9375,1,1,1
Formicinae 10,5,Carnivore,Formicidae,Melophorus,General,Soil,Unknown,Unknown,Mixed,70,28,42,1,5,64,0,0,0.88125,0.9,0.8625,0.90625,0.53125,0.96875,1,1
Formicinae 11,5,Omnivore,Formicidae,Camponotus,General,Mixed,Thousands,Cooperative,Mixed,32,11,21,0,0,12,5,15,0.85625,0.8875,0.825,1,0.75,1,0.6875,0.84375
Formicinae 12,2.5,Carnivore,Formicidae,Melophorus,General,Soil,Unknown,Unknown,Mixed,2,1,1,0,0,2,0,0,0.9875,0.9875,0.9875,1,0.9375,1,1,1
Formicinae 13,2.5,Carnivore,Formicidae,Melophorus,General,Soil,Unknown,Unknown,Mixed,18,12,6,3,7,1,1,6,0.91875,0.875,0.9625,0.84375,0.96875,0.90625,0.90625,0.96875
Formicinae 14,2.5,Omnivore,Formicidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10,7,3,2,0,2,4,2,0.9375,0.9125,0.9625,1,0.9375,0.9375,0.9375,0.875
Formicinae 15,10,Carnivore,Formicidae,Notoncus,General,Soil,Unknown,Unknown,Mixed,4,2,2,1,1,2,0,0,0.98125,0.975,0.9875,0.96875,0.96875,0.96875,1,1
Formicinae 16,0,Omnivore,Formicidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,15,13,2,1,3,3,6,2,0.925,0.875,0.975,0.90625,0.90625,0.96875,0.9375,0.90625
Formicinae 17,2.5,Carnivore,Formicidae,Melophorus,General,Soil,Unknown,Unknown,Mixed,5,5,0,0,4,1,0,0,0.975,0.95,1,0.90625,0.96875,1,1,1
Formicinae 18,5,Omnivore,Formicidae,Polyrhachis,General,Mixed,Thousands,Solitary,Mixed,1,1,0,0,1,0,0,0,0.99375,0.9875,1,0.96875,1,1,1,1
