Morphospecies,Size,Trophic level,Order
Actinopodidae1,10,Predator,Araneae
Ammoxenidae1,2.5,Predator,Araneae
Ammoxenidae2,0,Predator,Araneae
Araneidae1,2.5,Predator,Araneae
Araneidae2,10,Predator,Araneae
Clubiniodae1,0,Predator,Araneae
Clubionidae2,2.5,Predator,Araneae
Corinnidae1,2.5,Predator,Araneae
Corinnidae2,0,Predator,Araneae
Dictynidae1,0,Predator,Araneae
Dictynidae2,2.5,Predator,Araneae
Dictynidae3,2.5,Predator,Araneae
Gnaphosidae1,0,Predator,Araneae
Gnaphosidae2,0,Predator,Araneae
Gnaphosidae3,2.5,Predator,Araneae
Lamponidae1,2.5,Predator,Araneae
Lamponidae2,2.5,Predator,Araneae
Lamponidae3,2.5,Predator,Araneae
Lamponidae4,2.5,Predator,Araneae
Lycosidae01,0,Predator,Araneae
Lycosidae02,10,Predator,Araneae
Lycosidae03,0,Predator,Araneae
Lycosidae04,5,Predator,Araneae
Lycosidae05,2.5,Predator,Araneae
Lycosidae06,15,Predator,Araneae
Lycosidae07,15,Predator,Araneae
Lycosidae08,10,Predator,Araneae
Lycosidae09,2.5,Predator,Araneae
Lycosidae10,2.5,Predator,Araneae
Lycosidae11,0,Predator,Araneae
Lycosidae12,2.5,Predator,Araneae
Mysmenidae1,0,Predator,Araneae
Mysmenidae2,0,Predator,Araneae
Oonopidae1,0,Predator,Araneae
Oxyopidae1,2.5,Predator,Araneae
Prodidomidae1,2.5,Predator,Araneae
Salticidae1,2.5,Predator,Araneae
Salticidae2,0,Predator,Araneae
Salticidae3,0,Predator,Araneae
Salticidae4,0,Predator,Araneae
Salticidae5,2.5,Predator,Araneae
Salticidae6,0,Predator,Araneae
Stenochilidae1,0,Predator,Araneae
Tetrablemmidae1,0,Predator,Araneae
Tetrablemmidae2,0,Predator,Araneae
Tetrablemmidae3,0,Predator,Araneae
Theridiidae1,0,Predator,Araneae
Theridiidae2,0,Predator,Araneae
Theridiidae3,5,Predator,Araneae
Theridiidae4,0,Predator,Araneae
Theridiidae5,2.5,Predator,Araneae
Theridiidae6,0,Predator,Araneae
Theridiidae7,2.5,Predator,Araneae
Theridiidae8,2.5,Predator,Araneae
Theridiosomatidae1,2.5,Predator,Araneae
Theridiosomatidae2,0,Predator,Araneae
Theridiosomatidae3,0,Predator,Araneae
Theridiosomatidae4,0,Predator,Araneae
Theridiosomatidae5,0,Predator,Araneae
Thomisidae1,5,Predator,Araneae
Thomisidae2,0,Predator,Araneae
Thomisidae3,0,Predator,Araneae
Thomisidae4,2.5,Predator,Araneae
Trochanteriidae1,2.5,Predator,Araneae
Zodariidae01,2.5,Predator,Araneae
Zodariidae02,2.5,Predator,Araneae
Zodariidae03,0,Predator,Araneae
Zodariidae04,5,Predator,Araneae
Zodariidae05,5,Predator,Araneae
Zodariidae06,10,Predator,Araneae
Zodariidae07,2.5,Predator,Araneae
Zodariidae08,5,Predator,Araneae
Zodariidae09,5,Predator,Araneae
Zodariidae10,2.5,Predator,Araneae
Zodariidae11,2.5,Predator,Araneae
Zodariidae12,5,Predator,Araneae
Zodariidae13,0,Predator,Araneae
Blaberidae1,15,Detritivore,Blattodea
Blattidae1,10,Detritivore,Blattodea
Blattidae2,5,Detritivore,Blattodea
Blattidae3,25,Detritivore,Blattodea
Blattidae4,5,Detritivore,Blattodea
Blattidae5,5,Detritivore,Blattodea
Ectobiidae1,5,Detritivore,Blattodea
Ectobiidae2,10,Detritivore,Blattodea
Anthicidae1,0,Herbivore,Coleoptera
Anthicidae2,2.5,Herbivore,Coleoptera
Anthicidae3,0,Herbivore,Coleoptera
Biphyllidae1,2.5,Detritivore,Coleoptera
Byrrhidae1,0,Herbivore,Coleoptera
Cantharidae1,10,Predator,Coleoptera
Carabidae1,5,Predator,Coleoptera
Carabidae2,5,Omnivore,Coleoptera
Carabidae3,10,Predator,Coleoptera
Carabidae4,10,Predator,Coleoptera
Carabidae5,2.5,Omnivore,Coleoptera
