Morphospecies,Size,Trophic level,Order
Actinopodidae 1,10.0,Predator,Araneae
Ammoxenidae 1,2.5,Predator,Araneae
Ammoxenidae 2,0.0,Predator,Araneae
Araneidae 1,2.5,Predator,Araneae
Araneidae 2,10.0,Predator,Araneae
Clubiniodae 1,0.0,Predator,Araneae
Clubionidae 2,2.5,Predator,Araneae
Corinnidae 1,2.5,Predator,Araneae
Corinnidae 2,0.0,Predator,Araneae
Dictynidae 1,0.0,Predator,Araneae
Dictynidae 2,2.5,Predator,Araneae
Dictynidae 3,2.5,Predator,Araneae
Gnaphosidae 1,0.0,Predator,Araneae
Gnaphosidae 2,0.0,Predator,Araneae
Gnaphosidae 3,2.5,Predator,Araneae
Lamponidae 1,2.5,Predator,Araneae
Lamponidae 2,2.5,Predator,Araneae
Lamponidae 3,2.5,Predator,Araneae
Lamponidae 4,2.5,Predator,Araneae
Lycosidae 01,0.0,Predator,Araneae
Lycosidae 02,10.0,Predator,Araneae
Lycosidae 03,0.0,Predator,Araneae
Lycosidae 04,5.0,Predator,Araneae
Lycosidae 05,2.5,Predator,Araneae
Lycosidae 06,15.0,Predator,Araneae
Lycosidae 07,15.0,Predator,Araneae
Lycosidae 08,10.0,Predator,Araneae
Lycosidae 09,2.5,Predator,Araneae
Lycosidae 10,2.5,Predator,Araneae
Lycosidae 11,0.0,Predator,Araneae
Lycosidae 12,2.5,Predator,Araneae
Mysmenidae 1,0.0,Predator,Araneae
Mysmenidae 2,0.0,Predator,Araneae
Oonopidae 1,0.0,Predator,Araneae
Oxyopidae 1,2.5,Predator,Araneae
Prodidomidae 1,2.5,Predator,Araneae
Salticidae 1,2.5,Predator,Araneae
Salticidae 2,0.0,Predator,Araneae
Salticidae 3,0.0,Predator,Araneae
Salticidae 4,0.0,Predator,Araneae
Salticidae 5,2.5,Predator,Araneae
Salticidae 6,0.0,Predator,Araneae
Stenochilidae 1,0.0,Predator,Araneae
Tetrablemmidae 1,0.0,Predator,Araneae
Tetrablemmidae 2,0.0,Predator,Araneae
Tetriblemmidae 3,0.0,Predator,Araneae
Theridiidae 1,0.0,Predator,Araneae
Theridiidae 2,0.0,Predator,Araneae
Theridiidae 3,5.0,Predator,Araneae
Theridiidae 4,0.0,Predator,Araneae
Theridiidae 5,2.5,Predator,Araneae
Theridiidae 6,0.0,Predator,Araneae
Theridiidae 7,2.5,Predator,Araneae
Theridiidae 8,2.5,Predator,Araneae
Theridiosomatidae 1,2.5,Predator,Araneae
Theridiosomatidae 2,0.0,Predator,Araneae
Theridiosomatidae 3,0.0,Predator,Araneae
Theridiosomatidae 4,0.0,Predator,Araneae
Theridiosomatidae 5,0.0,Predator,Araneae
Thomisidae 1,5.0,Predator,Araneae
Thomisidae 2,0.0,Predator,Araneae
Thomisidae 3,0.0,Predator,Araneae
Thomisidae 4,2.5,Predator,Araneae
Trochanteriidae 1,2.5,Predator,Araneae
Zodariidae 01,2.5,Predator,Araneae
Zodariidae 02,2.5,Predator,Araneae
Zodariidae 03,0.0,Predator,Araneae
Zodariidae 04,5.0,Predator,Araneae
Zodariidae 05,5.0,Predator,Araneae
Zodariidae 06,10.0,Predator,Araneae
Zodariidae 07,2.5,Predator,Araneae
Zodariidae 08,5.0,Predator,Araneae
Zodariidae 09,5.0,Predator,Araneae
Zodariidae 10,2.5,Predator,Araneae
Zodariidae 11,2.5,Predator,Araneae
Zodariidae 12,5.0,Predator,Araneae
Zodariidae 13,0.0,Predator,Araneae
Blaberidae 1,15.0,Omnivorous,Blattodea
