Year,Site,Plot,Treatment,Pitfall,Anostostomatinae 1,Caelifera larvae 1,Catanopinae 1,Catanopinae 2,Catanopinae 3,Enisfera larvae 1,Gomphocerinae 1,Gomphocerinae 2,Gomphocerinae 3,Gomphocerinae 4,Gryllinae 1,Gryllinae 2,Gryllinae 3,Gryllotalpinae 1,Oedipondinae 1,Pyrgomorphinae 1
2019,JE,3,Rock,NE,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019,JE,4,Control,NE,0,0,1,0,0,0,0,0,0,0,7,5,0,0,0,0
2019,JE,7,Control,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,JE,8,Rock,NE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,JE,3,Rock,NW,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,JE,4,Control,NW,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0
2019,JE,7,Control,NW,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,JE,8,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JE,3,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JE,4,Control,SE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,JE,7,Control,SE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,JE,8,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,JE,3,Rock,SW,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2019,JE,4,Control,SW,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0
2019,JE,7,Control,SW,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
2019,JE,8,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,13,Control,NE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
2019,JW,15,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019,JW,16,Control,NE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,JW,25,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,13,Control,NW,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,JW,15,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,16,Control,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,25,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,13,Control,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,15,Rock,SE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,JW,16,Control,SE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,JW,25,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,13,Control,SW,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,JW,15,Rock,SW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,16,Control,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,JW,25,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,CR,71,Rock,NE,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0
2019,CR,72,Control,NE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019,CR,73,Control,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,CR,74,Rock,NE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,CR,71,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2019,CR,72,Control,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,CR,73,Control,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,CR,74,Rock,NW,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
