Site_plot	Pit_code	Year	Site	Plot	Treatment	Pitfall	Ara_invdiv	Bla_invdiv	Col_invdiv	Form_invdiv	Ort_invdiv	Other_invdiv	Yr	Replicate
CR_71	CR_71_Rock_2016_NE	2016	CR	71	Rock	NE	6	0	6.14893617021276	1.86275956572151	2.66666666666667	1.53312302839117	0	CR_1
CR_71	CR_71_Rock_2016_NW	2016	CR	71	Rock	NW	6.4	0	2.52238805970149	1.25471352478652	1	1	0	CR_1
CR_71	CR_71_Rock_2016_SE	2016	CR	71	Rock	SE	2	0	5.4	3.21962095875139	1	1.7536231884058	0	CR_1
CR_71	CR_71_Rock_2016_SW	2016	CR	71	Rock	SW	7.2	0	2.33333333333333	2.62063227953411	1.6	2.57894736842105	0	CR_1
CR_71	CR_71_Rock_2019_NE	2019	CR	71	Rock	NE	2.66666666666667	1.8	4.9	1.22735652452709	1	3	3	CR_1
CR_71	CR_71_Rock_2019_NW	2019	CR	71	Rock	NW	2	0	3.57142857142857	1.13115487914056	0	0	3	CR_1
CR_71	CR_71_Rock_2019_SE	2019	CR	71	Rock	SE	4	1	5.35153583617747	3.25178147268409	2.27272727272727	3	3	CR_1
CR_71	CR_71_Rock_2019_SW	2019	CR	71	Rock	SW	4	1	1.6	3.73602168756354	2.25333333333333	1.92307692307692	3	CR_1
CR_72	CR_72_Control_2016_NE	2016	CR	72	Control	NE	6.36842105263158	1	2.82446311858077	3.56104651162791	3	2.03614457831325	0	CR_1
CR_72	CR_72_Control_2016_NW	2016	CR	72	Control	NW	4.54545454545455	1	3	2.60215053763441	0	1.97560975609756	0	CR_1
CR_72	CR_72_Control_2016_SE	2016	CR	72	Control	SE	5.82758620689655	1	1.48564180618975	1.60808245185788	1	1.750452079566	0	CR_1
CR_72	CR_72_Control_2016_SW	2016	CR	72	Control	SW	10.8888888888889	0	3.03584229390681	3.46611265004617	1	1.84258943781942	0	CR_1
CR_72	CR_72_Control_2019_NE	2019	CR	72	Control	NE	1.67052023121387	1	5.4018691588785	3.36111111111111	1	1	3	CR_1
CR_72	CR_72_Control_2019_NW	2019	CR	72	Control	NW	1.47126436781609	1	6.55169561621175	2.9868578255675	1.6	1	3	CR_1
CR_72	CR_72_Control_2019_SE	2019	CR	72	Control	SE	5.53846153846154	1	8.07669616519174	2.10434782608696	1.32432432432432	0	3	CR_1
